Race,Candidate,Vote Type,Locality,Votes
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 2-5,384
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 2-6,1408
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 2-6,482
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 2-7,939
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 2-7,347
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 2-8,1139
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 2-8,372
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 2-9,1278
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 2-9,548
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 2-10,1170
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 2-10,369
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 2-11,773
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 2-11,275
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 3-1,1299
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 3-1,365
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 3-2,747
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 3-2,238
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 3-4,871
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 3-4,246
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 3-5,940
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 3-5,210
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 3-6,1028
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 3-6,257
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 3-7,796
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 3-7,288
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 3-8,682
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 3-8,184
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 3-9,745
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 3-9,176
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 3-10,724
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 3-10,159
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 3-11,671
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 3-11,175
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 3-12,792
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 3-12,227
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 3-13,819
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 3-13,252
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Bloomfield 3-14,756
For Governor / Lt. Governor (Vote For 1),,Total,Bloomfield 3-14,246
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Caldwell 1,619
For Governor / Lt. Governor (Vote For 1),,Total,Caldwell 1,307
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Caldwell 2,507
For Governor / Lt. Governor (Vote For 1),,Total,Caldwell 2,176
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Caldwell 3,552
For Governor / Lt. Governor (Vote For 1),,Total,Caldwell 3,211
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Caldwell 4,824
For Governor / Lt. Governor (Vote For 1),,Total,Caldwell 4,309
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Caldwell 5,964
For Governor / Lt. Governor (Vote For 1),,Total,Caldwell 5,427
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Caldwell 6,814
For Governor / Lt. Governor (Vote For 1),,Total,Caldwell 6,314
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Caldwell 7,1183
For Governor / Lt. Governor (Vote For 1),,Total,Caldwell 7,436
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Cedar Grove 1,763
For Governor / Lt. Governor (Vote For 1),,Total,Cedar Grove 1,315
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Cedar Grove 2,1271
For Governor / Lt. Governor (Vote For 1),,Total,Cedar Grove 2,493
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Cedar Grove 3,1010
For Governor / Lt. Governor (Vote For 1),,Total,Cedar Grove 3,404
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Cedar Grove 4,1116
For Governor / Lt. Governor (Vote For 1),,Total,Cedar Grove 4,420
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Cedar Grove 5,803
For Governor / Lt. Governor (Vote For 1),,Total,Cedar Grove 5,263
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Cedar Grove 6,682
For Governor / Lt. Governor (Vote For 1),,Total,Cedar Grove 6,273
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Cedar Grove 7,1099
For Governor / Lt. Governor (Vote For 1),,Total,Cedar Grove 7,376
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Cedar Grove 8,846
For Governor / Lt. Governor (Vote For 1),,Total,Cedar Grove 8,276
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Cedar Grove 9,825
For Governor / Lt. Governor (Vote For 1),,Total,Cedar Grove 9,316
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Cedar Grove 10,970
For Governor / Lt. Governor (Vote For 1),,Total,Cedar Grove 10,250
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 1-1,740
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 1-1,218
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 1-2,783
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 1-2,326
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 1-3,767
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 1-3,315
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 1-4,562
