Race,Candidate,Vote Type,Locality,Votes
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-17,188
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-18,682
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-18,156
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-19,789
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-19,199
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-20,911
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-20,226
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-21,680
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-21,170
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-22,967
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-22,234
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-23,824
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-23,204
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-24,672
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-24,184
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-25,864
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-25,163
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-27,869
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-27,230
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-28,707
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-28,187
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-29,759
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-29,202
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-30,807
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-30,271
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-32,681
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-32,171
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-34,777
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-34,213
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-35,579
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-35,178
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-36,1023
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-36,325
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-37,777
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-37,183
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-38,735
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-38,249
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-39,882
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-39,355
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-40,800
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-40,261
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-41,808
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-41,254
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-42,950
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-42,241
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-44,845
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-44,283
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-45,818
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-45,247
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-46,975
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-46,361
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-47,941
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-47,206
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-48,971
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-48,220
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark S-49,1132
For Governor / Lt. Governor (Vote For 1),,Total,Newark S-49,268
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-1,627
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-1,133
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-2,1077
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-2,185
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-3,962
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-3,191
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-4,1223
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-4,213
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-6,650
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-6,120
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-7,771
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-7,143
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-8,667
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-8,167
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-9,855
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-9,195
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-10,557
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-10,112
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-11,527
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-11,102
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-12,886
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-12,141
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-13,934
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-13,182
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-14,509
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-14,107
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-15,482
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-15,96
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-16,700
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-16,143
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-17,461
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-17,81
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-18,654
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-18,120
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-19,519
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-19,114
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-20,562
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-20,123
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-21,585
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-21,142
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-25,221
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-25,83
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-29,919
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-29,154
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark E-30,1005
For Governor / Lt. Governor (Vote For 1),,Total,Newark E-30,248
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-6,637
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-6,151
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-7,1079
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-7,221
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-9,805
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-9,154
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-10,683
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-10,186
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-13,895
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-13,201
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-15,780
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-15,173
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-17,1181
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-17,235
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-19,1040
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-19,194
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-20,581
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-20,137
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-21,588
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-21,120
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-22,815
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-22,222
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-23,825
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-23,213
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-24,606
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-24,192
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-25,857
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-25,189
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-26,652
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-26,207
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-27,706
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-27,178
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-28,851
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-28,213
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-29,703
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-29,162
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-30,794
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-30,250
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-31,943
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-31,316
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-32,878
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-32,339
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-33,880
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-33,291
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-34,923
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-34,276
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-35,884
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-35,246
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-36,898
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-36,317
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-37,775
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-37,240
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-38,810
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-38,317
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-39,668
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-39,205
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-40,1198
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-40,398
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-41,815
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-41,223
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-43,1280
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-43,244
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-44,776
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-44,140
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-45,546
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-45,167
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-46,671
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-46,120
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-47,888
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-47,154
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-48,900
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-48,179
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark W-49,860
For Governor / Lt. Governor (Vote For 1),,Total,Newark W-49,165
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-1,1337
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-1,332
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-3,612
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-3,142
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-4,652
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-4,230
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-5,564
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-5,190
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-6,1007
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-6,299
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-7,786
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-7,281
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-9,1346
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-9,408
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-12,798
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-12,266
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-15,971
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-15,355
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-17,1068
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-17,314
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-20,968
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-20,282
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-22,1374
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-22,415
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-23,2064
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-23,552
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-28,827
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-28,221
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-29,523
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-29,136
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-32,1477
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-32,240
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-34,1511
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-34,274
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-35,892
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-35,165
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-37,491
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-37,106
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-38,1497
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-38,438
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-39,1184
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-39,284
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-40,1742
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-40,604
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-41,782
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-41,227
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-42,859
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-42,267
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-43,650
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-43,151
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-44,498
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-44,134
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-45,562
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-45,134
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-46,607
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-46,98
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-47,925
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-47,161
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Newark C-49,619
For Governor / Lt. Governor (Vote For 1),,Total,Newark C-49,116
For Governor / Lt. Governor (Vote For 1),,Registered Voters,North Caldwell 1,1654
For Governor / Lt. Governor (Vote For 1),,Total,North Caldwell 1,607
For Governor / Lt. Governor (Vote For 1),,Registered Voters,North Caldwell 2,1468
For Governor / Lt. Governor (Vote For 1),,Total,North Caldwell 2,497
For Governor / Lt. Governor (Vote For 1),,Registered Voters,North Caldwell 3,1120
For Governor / Lt. Governor (Vote For 1),,Total,North Caldwell 3,438
For Governor / Lt. Governor (Vote For 1),,Registered Voters,North Caldwell 4,970
For Governor / Lt. Governor (Vote For 1),,Total,North Caldwell 4,352
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 1-1,1361
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 1-1,438
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 1-2,787
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 1-2,227
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 1-3,1197
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 1-3,363
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 1-4,871
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 1-4,319
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 1-5,826
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 1-5,244
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 1-6,824
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 1-6,358
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 1-7,1007
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 1-7,328
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 2-1,615
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 2-1,233
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 2-2,1141
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 2-2,455
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 2-3,1269
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 2-3,534
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 2-4,1091
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 2-4,377
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 2-5,772
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 2-5,235
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 2-6,1055
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 2-6,360
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 3-1,708
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 3-1,164
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 3-2,818
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 3-2,261
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 3-3,757
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 3-3,284
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 3-4,1083
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 3-4,410
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 3-5,1924
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 3-5,686
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 3-6,1502
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 3-6,409
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Nutley 3-7,729
For Governor / Lt. Governor (Vote For 1),,Total,Nutley 3-7,211
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Orange N-2,1152
For Governor / Lt. Governor (Vote For 1),,Total,Orange N-2,330
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Orange N-3,1057
For Governor / Lt. Governor (Vote For 1),,Total,Orange N-3,310
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Orange N-4,515
For Governor / Lt. Governor (Vote For 1),,Total,Orange N-4,179
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Orange N-5,1018
For Governor / Lt. Governor (Vote For 1),,Total,Orange N-5,345
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Orange S-1,1029
For Governor / Lt. Governor (Vote For 1),,Total,Orange S-1,342
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Orange S-2,1260
For Governor / Lt. Governor (Vote For 1),,Total,Orange S-2,473
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Orange S-4,816
For Governor / Lt. Governor (Vote For 1),,Total,Orange S-4,249
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Orange S-5,931
For Governor / Lt. Governor (Vote For 1),,Total,Orange S-5,287
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Orange S-6,686
For Governor / Lt. Governor (Vote For 1),,Total,Orange S-6,160
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Orange E-1,1482
For Governor / Lt. Governor (Vote For 1),,Total,Orange E-1,475
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Orange E-2,993
For Governor / Lt. Governor (Vote For 1),,Total,Orange E-2,263
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Orange E-4,1010
For Governor / Lt. Governor (Vote For 1),,Total,Orange E-4,240
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Orange E-5,898
For Governor / Lt. Governor (Vote For 1),,Total,Orange E-5,349
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Orange W-3,807
For Governor / Lt. Governor (Vote For 1),,Total,Orange W-3,202
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Orange W-4,1018
For Governor / Lt. Governor (Vote For 1),,Total,Orange W-4,285
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Orange W-5,899
For Governor / Lt. Governor (Vote For 1),,Total,Orange W-5,184
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Orange W-6,635
For Governor / Lt. Governor (Vote For 1),,Total,Orange W-6,185
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Roseland 1,838
For Governor / Lt. Governor (Vote For 1),,Total,Roseland 1,353
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Roseland 2,1052
For Governor / Lt. Governor (Vote For 1),,Total,Roseland 2,384
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Roseland 3,734
For Governor / Lt. Governor (Vote For 1),,Total,Roseland 3,301
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Roseland 4,907
For Governor / Lt. Governor (Vote For 1),,Total,Roseland 4,422
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Roseland 5,845
For Governor / Lt. Governor (Vote For 1),,Total,Roseland 5,394
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Roseland 6,796
For Governor / Lt. Governor (Vote For 1),,Total,Roseland 6,349
For Governor / Lt. Governor (Vote For 1),,Registered Voters,South Orange 1,1003
For Governor / Lt. Governor (Vote For 1),,Total,South Orange 1,430
For Governor / Lt. Governor (Vote For 1),,Registered Voters,South Orange 2,704
For Governor / Lt. Governor (Vote For 1),,Total,South Orange 2,312
For Governor / Lt. Governor (Vote For 1),,Registered Voters,South Orange 3,873
For Governor / Lt. Governor (Vote For 1),,Total,South Orange 3,426
For Governor / Lt. Governor (Vote For 1),,Registered Voters,South Orange 4,1129
For Governor / Lt. Governor (Vote For 1),,Total,South Orange 4,467
For Governor / Lt. Governor (Vote For 1),,Registered Voters,South Orange 6,940
For Governor / Lt. Governor (Vote For 1),,Total,South Orange 6,433
For Governor / Lt. Governor (Vote For 1),,Registered Voters,South Orange 7,1787
For Governor / Lt. Governor (Vote For 1),,Total,South Orange 7,802
For Governor / Lt. Governor (Vote For 1),,Registered Voters,South Orange 8,798
For Governor / Lt. Governor (Vote For 1),,Total,South Orange 8,378
For Governor / Lt. Governor (Vote For 1),,Registered Voters,South Orange 9,1127
For Governor / Lt. Governor (Vote For 1),,Total,South Orange 9,372
For Governor / Lt. Governor (Vote For 1),,Registered Voters,South Orange 10,712
For Governor / Lt. Governor (Vote For 1),,Total,South Orange 10,371
For Governor / Lt. Governor (Vote For 1),,Registered Voters,South Orange 11,773
For Governor / Lt. Governor (Vote For 1),,Total,South Orange 11,341
For Governor / Lt. Governor (Vote For 1),,Registered Voters,South Orange 12,1166
For Governor / Lt. Governor (Vote For 1),,Total,South Orange 12,443
For Governor / Lt. Governor (Vote For 1),,Registered Voters,South Orange 13,1490
For Governor / Lt. Governor (Vote For 1),,Total,South Orange 13,608
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Verona 1,1136
For Governor / Lt. Governor (Vote For 1),,Total,Verona 1,435
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Verona 2,866
For Governor / Lt. Governor (Vote For 1),,Total,Verona 2,355
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Verona 3,706
For Governor / Lt. Governor (Vote For 1),,Total,Verona 3,307
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Verona 4,1138
For Governor / Lt. Governor (Vote For 1),,Total,Verona 4,429
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Verona 5,1097
For Governor / Lt. Governor (Vote For 1),,Total,Verona 5,513
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Verona 6,1001
For Governor / Lt. Governor (Vote For 1),,Total,Verona 6,387
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Verona 7,796
For Governor / Lt. Governor (Vote For 1),,Total,Verona 7,342
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Verona 8,972
For Governor / Lt. Governor (Vote For 1),,Total,Verona 8,386
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Verona 9,963
For Governor / Lt. Governor (Vote For 1),,Total,Verona 9,358
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Verona 10,1050
For Governor / Lt. Governor (Vote For 1),,Total,Verona 10,467
For Governor / Lt. Governor (Vote For 1),,Registered Voters,Verona 11,1167
For Governor / Lt. Governor (Vote For 1),,Total,Verona 11,368
For Governor / Lt. Governor (Vote For 1),,Registered Voters,West Caldwell 1,763
For Governor / Lt. Governor (Vote For 1),,Total,West Caldwell 1,312
For Governor / Lt. Governor (Vote For 1),,Registered Voters,West Caldwell 2,852
For Governor / Lt. Governor (Vote For 1),,Total,West Caldwell 2,338
For Governor / Lt. Governor (Vote For 1),,Registered Voters,West Caldwell 3,1244
For Governor / Lt. Governor (Vote For 1),,Total,West Caldwell 3,449
For Governor / Lt. Governor (Vote For 1),,Registered Voters,West Caldwell 4,1189
For Governor / Lt. Governor (Vote For 1),,Total,West Caldwell 4,388
For Governor / Lt. Governor (Vote For 1),,Registered Voters,West Caldwell 5,961
For Governor / Lt. Governor (Vote For 1),,Total,West Caldwell 5,329
For Governor / Lt. Governor (Vote For 1),,Registered Voters,West Caldwell 6,924
For Governor / Lt. Governor (Vote For 1),,Total,West Caldwell 6,386
For Governor / Lt. Governor (Vote For 1),,Registered Voters,West Caldwell 7,696
For Governor / Lt. Governor (Vote For 1),,Total,West Caldwell 7,294
For Governor / Lt. Governor (Vote For 1),,Registered Voters,West Caldwell 8,891
For Governor / Lt. Governor (Vote For 1),,Total,West Caldwell 8,350
For Governor / Lt. Governor (Vote For 1),,Registered Voters,West Caldwell 9,1045
