"Subgroup","Municipality","Candidate","Votes"
"Camden County","Camden Totals","Bob PattersonRepublican",69503
"Gloucester County","Deptford","Bob PattersonRepublican",4782
"Gloucester County","East Greenwich","Bob PattersonRepublican",2250
"Gloucester County","Glassboro","Bob PattersonRepublican",2498
"Gloucester County","Greenwich","Bob PattersonRepublican",1060
"Gloucester County","Logan","Bob PattersonRepublican",1151
"Gloucester County","Monroe","Bob PattersonRepublican",6838
"Gloucester County","National Park","Bob PattersonRepublican",463
"Gloucester County","Paulsboro","Bob PattersonRepublican",425
"Gloucester County","Washington","Bob PattersonRepublican",11750
"Gloucester County","Wenoah","Bob PattersonRepublican",582
"Gloucester County","West Deptford","Bob PattersonRepublican",4334
"Gloucester County","Westville","Bob PattersonRepublican",688
"Gloucester County","Woodbury","Bob PattersonRepublican",1350
"Gloucester County","Woodbury Heights","Bob PattersonRepublican",704
"Gloucester County","Federal Overseas","Bob PattersonRepublican",1
"Gloucester County","Gloucester Totals","Bob PattersonRepublican",38876
"Gloucester County","District 1 Totals","Bob PattersonRepublican",112388
"Burlington County","Maple Shade Twp","Michael BermanAmericanIndependents.org",109
"Burlington County","Palmyra Boro","Michael BermanAmericanIndependents.org",26
"Federal Overseas","Burlington Totals","Michael BermanAmericanIndependents.org",135
"Camden County","Audubon Boro","Michael BermanAmericanIndependents.org",18
"Camden County","Audubon Park Boro","Michael BermanAmericanIndependents.org",1
"Camden County","Barrington Boro","Michael BermanAmericanIndependents.org",24
"Camden County","Bellmawr Boro","Michael BermanAmericanIndependents.org",16
"Camden County","Berlin Boro","Michael BermanAmericanIndependents.org",15
"Camden County","Berlin Twp.","Michael BermanAmericanIndependents.org",10
"Camden County","Brooklawn Boro","Michael BermanAmericanIndependents.org",2
"Camden County","Camden City","Michael BermanAmericanIndependents.org",122
"Camden County","Cherry Hill Twp.","Michael BermanAmericanIndependents.org",160
"Camden County","Chesilhurst Boro","Michael BermanAmericanIndependents.org",3
"Camden County","Clementon Boro","Michael BermanAmericanIndependents.org",9
"Camden County","Collingswood Boro","Michael BermanAmericanIndependents.org",53
"Camden County","Gibbsboro Boro","Michael BermanAmericanIndependents.org",8
"Camden County","Gloucester City","Michael BermanAmericanIndependents.org",12
"Camden County","Gloucester Twp.","Michael BermanAmericanIndependents.org",101
"Camden County","Haddon Heights Boro","Michael BermanAmericanIndependents.org",21
"Camden County","Haddon Twp.","Michael BermanAmericanIndependents.org",40
"Camden County","Haddonfield Boro","Michael BermanAmericanIndependents.org",27
"Camden County","Hi-Nella Boro","Michael BermanAmericanIndependents.org",3
"Camden County","Laurel Springs Boro","Michael BermanAmericanIndependents.org",4
"Camden County","Lawnside Boro","Michael BermanAmericanIndependents.org",5
"Camden County","Lindenwold Boro","Michael BermanAmericanIndependents.org",25
"Camden County","Magnolia Boro","Michael BermanAmericanIndependents.org",7
"Camden County","Merchantville Boro","Michael BermanAmericanIndependents.org",17
"Camden County","Mt. Ephraim Boro","Michael BermanAmericanIndependents.org",5
"Camden County","Oaklyn Boro","Michael BermanAmericanIndependents.org",15
"Camden County","Pennsauken Twp","Michael BermanAmericanIndependents.org",61
"Camden County","Pine Hill Boro","Michael BermanAmericanIndependents.org",18
